,seller_id,buyer_id,product_id,product_price,sold_quantity,quantity_cluster,price_cluster,cluster,order_id
4769,4617,3836,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-3836
4770,4617,3853,778,49.0,840.0,well-seller,low-end,well-seller;low-end,4617-3853
4771,4617,3905,1161,59.0,147.0,normal-product,middle-end,normal-product;middle-end,4617-3905
4772,4617,3905,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-3905
4773,4617,3923,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-3923
4774,4617,3923,674,49.0,826.0,well-seller,low-end,well-seller;low-end,4617-3923
4775,4617,3959,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-3959
4776,4617,3962,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-3962
4777,4617,3962,1766,47.0,1666.0,best-seller,low-end,best-seller;low-end,4617-3962
4778,4617,3980,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-3980
4779,4617,3984,1766,47.0,1666.0,best-seller,low-end,best-seller;low-end,4617-3984
4780,4617,4066,4169,70.0,374.0,well-seller,middle-end,well-seller;middle-end,4617-4066
4781,4617,4067,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4067
4782,4617,4117,1766,47.0,1666.0,best-seller,low-end,best-seller;low-end,4617-4117
4783,4617,4174,4203,70.0,750.0,well-seller,middle-end,well-seller;middle-end,4617-4174
4784,4617,4182,4098,56.0,78.0,dull-product,middle-end,dull-product;middle-end,4617-4182
4785,4617,4183,1352,46.0,199.0,normal-product,low-end,normal-product;low-end,4617-4183
4786,4617,4184,4203,70.0,750.0,well-seller,middle-end,well-seller;middle-end,4617-4184
4787,4617,4185,778,49.0,840.0,well-seller,low-end,well-seller;low-end,4617-4185
4788,4617,4232,4203,70.0,750.0,well-seller,middle-end,well-seller;middle-end,4617-4232
4789,4617,4259,1862,49.0,351.0,well-seller,low-end,well-seller;low-end,4617-4259
4790,4617,4260,4169,70.0,374.0,well-seller,middle-end,well-seller;middle-end,4617-4260
4791,4617,4263,4169,70.0,374.0,well-seller,middle-end,well-seller;middle-end,4617-4263
4792,4617,4286,4203,70.0,750.0,well-seller,middle-end,well-seller;middle-end,4617-4286
4793,4617,4289,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-4289
4794,4617,4297,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4297
4795,4617,4332,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-4332
4796,4617,4337,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4337
4797,4617,4376,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-4376
4798,4617,4379,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4379
4799,4617,4390,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-4390
4800,4617,4423,4770,120.0,20.0,dull-product,middle-end,dull-product;middle-end,4617-4423
4801,4617,4514,4146,70.0,156.0,normal-product,middle-end,normal-product;middle-end,4617-4514
4802,4617,4521,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-4521
4803,4617,4539,4169,70.0,374.0,well-seller,middle-end,well-seller;middle-end,4617-4539
4804,4617,4581,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4581
4805,4617,4590,4138,55.0,151.0,normal-product,middle-end,normal-product;middle-end,4617-4590
4806,4617,4618,4189,70.0,5.0,dull-product,middle-end,dull-product;middle-end,4617-4618
4807,4617,4630,1737,49.0,5759.0,best-seller,low-end,best-seller;low-end,4617-4630
4808,4617,4652,1352,46.0,199.0,normal-product,low-end,normal-product;low-end,4617-4652
4809,4617,4656,4494,60.0,381.0,well-seller,middle-end,well-seller;middle-end,4617-4656
4810,4617,4662,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4662
4811,4617,4664,4169,70.0,374.0,well-seller,middle-end,well-seller;middle-end,4617-4664
4812,4617,4669,630,49.0,2685.0,best-seller,low-end,best-seller;low-end,4617-4669
4813,4617,4694,1903,49.0,356.0,well-seller,low-end,well-seller;low-end,4617-4694
